home_team,away_team,home_indicator,diff_OPS,diff_AVG,diff_OBP,diff_SLG,diff_R,diff_HR,diff_ERA,diff_WHIP,diff_SO,diff_OBA,diff_HR_allowed,Winner
Detroit Tigers,Texas Rangers,1,0.07299999999999995,0.01999999999999999,0.04299999999999998,0.031000000000000028,23,2,-0.5800000000000005,-0.1399999999999999,74,-0.05700000000000002,2,1
Detroit Tigers,Minnesota Twins,1,0.08799999999999997,0.021999999999999992,0.03300000000000003,0.056999999999999995,15,7,-0.6000000000000001,-0.030000000000000027,31,-0.010000000000000009,-8,1
Detroit Tigers,Houston Astros,1,0.09199999999999997,0.021999999999999992,0.017000000000000015,0.07700000000000001,15,6,-0.6000000000000001,-0.050000000000000044,42,-0.026999999999999996,-6,1
Detroit Tigers,Cincinnati Reds,1,0.08399999999999996,0.024999999999999994,0.028000000000000025,0.056999999999999995,1,3,-0.7500000000000004,-0.11999999999999988,52,-0.017999999999999988,-4,1
Detroit Tigers,Kansas City Royals,1,0.128,0.032,0.04299999999999998,0.08600000000000002,14,7,-0.8500000000000001,-0.10999999999999988,66,-0.027999999999999997,-5,1
Detroit Tigers,Pittsburgh Pirates,1,0.125,0.04099999999999998,0.03400000000000003,0.09200000000000003,14,7,-1.19,-0.22999999999999998,42,-0.05200000000000002,-1,1
Detroit Tigers,Chicago White Sox,1,0.14400000000000002,0.04199999999999998,0.046999999999999986,0.09800000000000003,27,8,-1.4300000000000002,-0.30000000000000004,73,-0.06799999999999998,-7,1
Milwaukee Brewers,St. Louis Cardinals,1,-0.09300000000000008,-0.04500000000000004,-0.04099999999999998,-0.05199999999999999,-2,1,1.54,0.15000000000000013,-27,0.023999999999999994,12,0
Milwaukee Brewers,San Diego Padres,1,-0.07500000000000007,-0.039000000000000035,-0.04099999999999998,-0.033999999999999975,4,2,1.3599999999999999,0.28,-24,0.05399999999999999,7,0
Milwaukee Brewers,Tampa Bay Rays,1,-0.05600000000000005,-0.03200000000000003,-0.02300000000000002,-0.032999999999999974,11,2,0.8399999999999999,0.32000000000000006,-9,0.04899999999999999,-1,0
Milwaukee Brewers,New York Yankees,1,-0.138,-0.02300000000000002,-0.03600000000000003,-0.10199999999999998,-15,-12,0.5899999999999999,0.1100000000000001,-21,0.015999999999999986,2,0
Milwaukee Brewers,Toronto Blue Jays,1,-0.014000000000000012,-0.02100000000000002,-0.02400000000000002,0.010000000000000009,16,9,0.56,0.28,-36,0.037000000000000005,-5,0
Milwaukee Brewers,Chicago Cubs,1,-0.08200000000000007,-0.020000000000000018,-0.03300000000000003,-0.04799999999999999,-32,-6,0.48,0.22999999999999998,-31,0.017999999999999988,-9,0
Milwaukee Brewers,Miami Marlins,1,-0.010000000000000009,-0.020000000000000018,-0.020000000000000018,0.010000000000000009,17,9,0.45999999999999996,0.22999999999999998,-8,0.022999999999999993,6,1
Milwaukee Brewers,Arizona Diamondbacks,1,-0.1090000000000001,-0.019000000000000017,-0.03999999999999998,-0.069,-12,-5,0.44999999999999973,0.08000000000000007,-20,0.01899999999999999,4,0
Milwaukee Brewers,Athletics,1,-0.05800000000000005,-0.017000000000000015,-0.007000000000000006,-0.05199999999999999,4,-6,0.41000000000000014,0.2200000000000002,-3,0.033,-1,0
Milwaukee Brewers,Boston Red Sox,1,-0.01100000000000001,-0.01200000000000001,-0.013000000000000012,0.0010000000000000009,6,4,0.18999999999999995,0.2200000000000002,-40,0.04000000000000001,3,1
Milwaukee Brewers,Philadelphia Phillies,1,-0.02100000000000002,-0.0040000000000000036,-0.02200000000000002,0.0010000000000000009,18,3,0.17999999999999972,0.15000000000000013,-21,0.010000000000000009,0,1
Milwaukee Brewers,Los Angeles Dodgers,1,-0.07200000000000006,-0.0030000000000000027,-0.017000000000000015,-0.05499999999999999,-1,-13,0.10000000000000009,0.15000000000000013,-15,0.02099999999999999,9,0
Milwaukee Brewers,Detroit Tigers,1,-0.020000000000000018,-0.0030000000000000027,-0.010000000000000009,-0.01100000000000001,11,1,0.06000000000000005,0.06000000000000005,-51,0.024999999999999994,1,0
Milwaukee Brewers,Los Angeles Angels,1,-0.04200000000000004,0.0009999999999999731,0.008000000000000007,-0.04899999999999999,16,-9,0.0,0.010000000000000009,-19,0.0,2,0
Milwaukee Brewers,San Francisco Giants,1,-0.040000000000000036,0.0009999999999999731,-0.006000000000000005,-0.033999999999999975,-8,0,-0.15000000000000036,0.15000000000000013,-32,0.01999999999999999,0,0
Milwaukee Brewers,Baltimore Orioles,1,-0.0030000000000000027,0.001999999999999974,0.007000000000000006,-0.009000000000000008,14,1,-0.15000000000000036,0.20000000000000018,4,0.026999999999999996,8,0
Milwaukee Brewers,Cleveland Guardians,1,0.0029999999999998916,0.005999999999999978,-0.0010000000000000009,0.0040000000000000036,26,1,-0.21999999999999975,-0.029999999999999805,-17,-0.0040000000000000036,-3,1
Milwaukee Brewers,Washington Nationals,1,0.020999999999999908,0.00899999999999998,0.0050000000000000044,0.016000000000000014,15,2,-0.2400000000000002,0.020000000000000018,-25,-0.014000000000000012,4,1
Milwaukee Brewers,Atlanta Braves,1,0.015999999999999903,0.012999999999999984,0.006000000000000005,0.010000000000000009,31,-1,-0.2400000000000002,0.020000000000000018,-34,-0.009000000000000008,-1,1
Milwaukee Brewers,Colorado Rockies,1,0.06099999999999994,0.014999999999999986,0.02200000000000002,0.039000000000000035,40,9,-0.2999999999999998,0.14000000000000012,-39,0.05299999999999999,0,1
Milwaukee Brewers,New York Mets,1,0.016999999999999904,0.015999999999999986,0.006000000000000005,0.01100000000000001,20,6,-0.33999999999999986,0.030000000000000027,5,0.01100000000000001,-1,0
Milwaukee Brewers,Seattle Mariners,1,-0.01100000000000001,0.015999999999999986,-0.010000000000000009,-0.0010000000000000009,11,-5,-0.41999999999999993,-0.10999999999999988,-25,-0.009000000000000008,-2,1
Milwaukee Brewers,Texas Rangers,1,0.052999999999999936,0.016999999999999987,0.032999999999999974,0.020000000000000018,34,3,-0.5200000000000005,-0.07999999999999985,23,-0.03200000000000003,3,1
Milwaukee Brewers,Minnesota Twins,1,0.06799999999999995,0.01899999999999999,0.02300000000000002,0.045999999999999985,26,8,-0.54,0.030000000000000027,-20,0.014999999999999986,-7,1
Milwaukee Brewers,Houston Astros,1,0.07199999999999995,0.01899999999999999,0.007000000000000006,0.066,26,7,-0.54,0.010000000000000009,-9,-0.0020000000000000018,-5,1
Milwaukee Brewers,Cincinnati Reds,1,0.06399999999999995,0.021999999999999992,0.018000000000000016,0.045999999999999985,12,4,-0.6900000000000004,-0.05999999999999983,1,0.007000000000000006,-3,1
Milwaukee Brewers,Kansas City Royals,1,0.10799999999999998,0.028999999999999998,0.032999999999999974,0.07500000000000001,25,8,-0.79,-0.04999999999999982,15,-0.0030000000000000027,-4,1
Milwaukee Brewers,Pittsburgh Pirates,1,0.10499999999999998,0.03799999999999998,0.02400000000000002,0.08100000000000002,25,8,-1.13,-0.16999999999999993,-9,-0.027000000000000024,0,1
Milwaukee Brewers,Chicago White Sox,1,0.124,0.03899999999999998,0.03699999999999998,0.08700000000000002,38,9,-1.37,-0.24,22,-0.04299999999999998,-6,1
